<<<<<<< HEAD
Subject ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10.1,Q10.2,Q10.3,Q10.4,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7
K672,Malay,2021_07_15_16_48_39,1,-1,2,0,0,2,2,0,3,3,2,1,4,1,2,3,4,5,7,6,2,5,1,4,3
p260,Malay,2021_04_07_11_01_22,0,2,0,1,2,2,0,2,3,2,1,4,3,1,3,2,5,4,1,2,3,4,5,6,7
p2611,Mandarin,2021_07_19_13_00_00,2,-1,1,0,2,2,2,1,3,3,4,2,1,1,5,2,3,4,1,2,4,5,7,3,6
p2586,Mandarin,2021_07_13_11_17_24,-2,1,1,-1,2,1,0,0,1,4,3,1,2,1,3,,4,2,2,1,3,4,5,6,7
P2580,Mandarin,2021_07_13_11_15_00,2,1,2,0,0,2,2,2,2,1,2,4,3,5,3,4,2,1,7,1,6,2,3,4,5
p2614,Mandarin,2021_07_15_12_46_54,0,2,1,-1,-2,-2,-2,8,3,4,2,3,1,1,5,4,2,3,2,6,5,4,3,1,7
p1594,Mandarin,2021_07_15_08_36_36,2,2,2,2,0,2,2,2,1,3,1,2,4,5,2,1,3,4,3,4,5,7,6,1,2
P2630,Mandarin,2021_07_16_12_56_10,1,0,0,-1,2,-2,-1,2,3,1,2,4,3,5,4,1,2,3,7,6,4,3,1,2,5
P2615,Mandarin,2021_07_15_12_41_23,0,0,1,-2,-2,1,-2,2,3,4,2,1,3,1,3,2,4,5,7,2,4,5,3,6,1
p2606,Mandarin,2021_07_14_11_37_43,1,1,1,2,-1,1,1,2,4,1,2,4,3,2,3,1,4,5,7,6,3,2,1,4,5
p1589,Mandarin,2021_07_15_08_52_14,1,2,,1,0,2,2,2,2,1,4,3,2,5,3,4,2,1,1,2,4,5,7,6,3
p2632,Mandarin,2021_07_21_11_15_01,2,0,2,-1,-2,-1,2,2,3,4,3,1,2,3,5,4,2,1,6,2,5,4,1,3,7
P1567,Mandarin,2021_07_21_08_11_32,0,1,2,2,-2,2,2,2,3,4,3,2,1,2,4,5,1,3,2,3,5,4,6,1,7
P1574,Mandarin,2021_07_14_08_45_09,2,0,0,2,-2,2,2,0,3,2,3,1,4,1,2,4,5,3,1,2,4,3,6,5,7
P1595,Mandarin,2021_07_15_08_43_45,2,0,0,1,-1,1,-1,1,4,3,4,2,1,1,5,4,2,3,1,2,3,4,5,7,6
p2587,Mandarin,2021_07_13_11_20_32,2,1,2,2,-1,2,0,2,2,3,4,1,2,1,2,3,4,5,1,2,3,4,7,6,5
P2605,Mandarin,2021_07_14_11_44_17,2,2,0,-1,2,2,2,0,3,4,2,3,1,5,4,3,2,1,3,2,5,1,4,6,7
test,Mandarin,2021_07_16_12_55_05,2,0,1,0,1,0,0,2,1,2,4,1,3,3,1,5,2,4,3,4,1,6,7,5,2
p1555,Mandarin,2021_07_13_08_44_27,1,2,2,1,-1,1,0,1,1,2,3,4,1,2,1,4,5,3,1,2,4,3,6,5,7
p1562,Mandarin,2021_07_13_08_48_34,0,2,1,2,0,1,2,1,2,4,3,2,1,1,5,4,2,3,1,2,3,4,5,6,7
P2579,Mandarin,2021_07_13_11_15_36,2,2,2,1,2,2,2,2,1,1,2,3,4,1,2,3,4,5,1,2,6,5,7,4,3
P2640,Mandarin,2021_07_16_12_45_50,2,2,2,2,1,2,1,2,3,3,4,1,2,1,3,5,2,4,1,2,3,7,6,4,5
P1559,Mandarin,2021_07_26_07_44_29,2,1,0,0,1,0,1,2,2,4,2,3,1,1,2,5,3,4,1,6,3,2,7,4,5
P1571,Mandarin,2021_07_14_08_42_39,2,2,2,2,2,2,2,2,1,1,3,2,4,2,1,4,3,5,6,7,5,3,4,1,2
P1565,Mandarin,2021_07_14_08_44_38,1,2,-1,1,2,1,2,1,2,4,2,3,1,2,5,1,3,4,6,5,4,1,3,2,7
P1558,Mandarin,2021_07_13_09_00_07,0,1,0,0,-2,2,1,-1,3,4,2,3,1,1,2,3,4,5,1,2,3,4,5,6,7
p2577,Mandarin,2021_07_13_11_13_20,2,2,2,2,-2,2,2,0,2,1,2,3,4,5,3,4,1,2,1,2,3,4,7,5,6
P2607,Mandarin,2021_07_14_11_38_50,-2,0,1,2,-2,2,-2,2,3,1,2,3,4,1,5,2,3,4,7,6,4,3,1,2,5
P1570,Mandarin,2021_07_14_08_50_01,1,1,0,1,2,2,2,1,4,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
P2617,Mandarin,2021_07_15_12_40_32,-1,0,1,2,2,1,2,1,1,3,2,1,4,3,1,2,4,5,1,7,5,2,6,4,3
P2639,Mandarin,2021_07_16_12_39_59,2,0,2,0,2,2,0,2,3,2,1,4,3,2,1,4,3,5,1,2,3,4,5,6,7
P1560,Mandarin,2021_07_13_08_51_09,0,2,0,2,2,2,2,1,2,1,3,4,2,1,5,2,4,3,3,1,6,2,7,5,4
P3465,Tamil,2021_04_20_13_03_37,2,2,1,2,1,2,1,1,1,2,1,4,3,3,1,2,5,4,1,2,3,4,5,6,7
p1436,Tamil,2021_04_26_12_37_25,2,1,-2,2,1,2,2,2,3,1,3,2,4,1,3,2,5,4,7,3,1,2,6,5,4
p1440,Tamil,2021_04_26_12_58_43,2,2,2,2,2,2,2,2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
P2133,Tamil,2021_03_26_09_31_13,-2,1,0,-2,-1,0,-1,0,3,1,3,2,4,4,5,1,3,2,6,4,7,2,1,3,5
P2447,Tamil,2021_04_21_10_23_57,2,2,2,2,2,2,2,2,2,1,2,4,3,3,5,4,2,1,1,2,3,5,4,6,7
p2100,Tamil,2021_03_23_08_48_00,2,1,2,1,2,2,2,1,1,1,2,3,4,2,1,4,3,5,2,3,6,5,4,7,1
p1101,Tamil,2021_03_26_10_55_39,1,2,1,1,0,1,1,1,4,1,3,4,2,4,5,3,1,2,7,6,1,2,3,4,5
p3468,Tamil,2021_04_20_13_07_18,1,0,1,2,2,0,1,2,1,3,4,1,2,1,2,5,3,4,2,1,4,3,7,6,5
n213,Tamil,2021_03_29_10_31_34,2,2,2,2,2,2,2,2,1,2,3,4,1,1,2,3,4,5,2,3,1,4,5,6,7
P315,Tamil,2021_03_30_12_00_44,-2,-2,0,0,2,-2,-1,-2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p2451,Tamil,2021_04_21_10_06_52,2,2,1,1,1,1,1,1,1,1,3,2,4,4,1,2,3,5,1,2,3,4,7,6,5
p1439,Tamil,2021_04_26_12_41_44,1,1,1,2,1,2,2,2,3,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p1434,Tamil,2021_04_26_12_36_54,2,2,2,1,0,1,1,1,2,1,2,3,4,2,1,3,5,4,1,3,2,4,5,7,6
P2442,Tamil,2021_04_21_10_07_34,1,2,0,2,-1,2,1,2,1,1,3,2,4,1,2,5,3,4,1,2,3,4,5,7,6
p3472,Tamil,2021_04_21_11_34_08,0,-2,0,-2,-2,-1,-2,0,2,3,4,2,1,4,5,3,1,2,1,2,3,5,7,4,6
P304,Tamil,2021_03_30_11_41_23,2,1,1,0,-2,0,-1,2,3,4,3,1,2,1,2,4,3,5,1,2,4,3,5,7,6
K174,Tamil,2021_04_13_10_13_52,2,-2,0,2,-2,2,0,0,2,4,1,2,3,2,5,4,1,3,5,1,6,4,2,3,7
p1435,Tamil,2021_04_26_12_44_39,2,2,2,2,2,2,2,2,2,3,4,2,1,3,2,5,1,4,2,1,7,4,5,6,3
k203,Tamil,2021_03_31_13_53_55,2,2,2,2,2,2,2,2,2,1,3,2,4,1,3,2,4,5,1,2,3,4,5,6,7
test,Tamil,2021_04_23_12_51_12,2,2,2,2,2,2,2,2,2,3,4,1,2,1,2,4,3,5,1,2,3,4,7,5,6
p1433,Tamil,2021_04_26_12_42_39,1,2,0,1,0,0,-1,2,3,2,1,4,3,4,1,2,5,3,7,6,1,2,4,5,3
P3462,Tamil,2021_04_20_13_06_57,2,2,1,a,0,1,-1,2,3,3,4,1,2,1,2,3,4,5,1,2,4,3,5,6,7
p1119,Tamil,2021_03_26_10_54_45,2,1,1,2,-1,1,0,-2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p1438,Tamil,2021_04_26_12_34_31,2,1,2,0,0,1,1,2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p2453,Tamil,2021_04_22_10_07_04,1,2,1,1,2,1,1,1,3,1,2,4,3,5,3,2,1,4,2,3,4,7,6,5,1
P313,Tamil,2021_03_30_11_41_14,2,2,2,2,0,2,2,2,1,3,2,1,4,2,3,4,1,5,1,2,4,3,7,6,5
=======
Subject ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10.1,Q10.2,Q10.3,Q10.4,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7
p259,Malay,2021_04_07_10_53_37,-1,-1,-1,-1,-1,0,1,-1,3,4,3,2,1,4,5,3,2,1,5,6,4,3,2,1,7
K658,Malay,2010_01_04_09_47_33,2,2,2,2,-2,-2,-2,0,4,1,2,3,4,2,3,5,1,4,1,2,4,3,6,5,7
p258,Malay,2021_04_07_10_51_50,2,1,-2,0,-1,-2,-1,0,3,4,1,2,3,1,2,5,4,3,1,2,3,4,7,5,6
N665,Malay,2021_07_21_17_57_07,-2,2,0,-2,0,1,-2,0,2,1,4,2,3,1,3,2,4,5,3,4,1,5,6,7,2
p238,Malay,2021_04_13_11_02_13,2,2,0,0,2,1,2,1,1,3,4,1,2,4,5,2,1,3,3,2,1,4,5,7,6
K659,Malay,2010_01_04_10_38_55,2,1,0,1,2,1,2,0,3,2,3,1,4,3,5,1,2,4,2,1,3,4,7,6,5
P267,Malay,2021_04_05_08_22_37,2,2,-2,-2,-2,2,2,-2,2,3,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6
test,Malay,2021_07_16_17_02_03,2,2,0,-1,0,2,1,-1,2,1,4,3,2,2,1,3,4,5,1,2,3,4,7,5,6
P240,Malay,2021_04_13_11_05_04,0,1,1,0,0,2,-1,1,1,1,3,4,2,1,2,3,5,4,2,3,1,4,7,5,6
P242,Malay,2021_04_13_10_57_42,0,0,1,0,2,0,0,2,1,1,3,2,4,2,1,5,4,3,1,2,3,7,4,6,5
p251,Malay,2021_04_13_10_57_58,2,0,1,2,1,2,-2,2,4,2,3,1,4,1,3,4,5,2,2,1,3,4,5,6,7
N657,Malay,2021_07_12_16_35_24,0,1,2,1,1,,2,2,1,1,2,3,4,1,2,3,4,5,1,2,4,3,7,5,6
P3115,Malay,2021_03_23_08_19_21,1,0,2,1,2,2,1,2,1,2,1,4,3,2,1,5,3,4,1,2,4,3,5,7,6
P244,Malay,2021_04_13_10_50_41,2,2,2,1,-1,1,2,2,4,1,4,3,2,1,5,3,2,4,1,2,3,4,5,6,7
P3137,Malay,2021_03_22_08_55_42,2,1,1,1,0,2,2,2,4,4,2,3,1,1,4,3,5,2,1,3,2,4,6,5,7
N666,Malay,2021_07_15_17_56_44,1,1,2,-2,1,-1,2,-1,1,1,3,2,4,1,5,2,3,4,3,2,1,6,4,5,7
K672,Malay,2021_07_15_16_48_39,1,-1,2,0,0,2,2,0,3,3,2,1,4,1,2,3,4,5,7,6,2,5,1,4,3
p260,Malay,2021_04_07_11_01_22,0,2,0,1,2,2,0,2,3,2,1,4,3,1,3,2,5,4,1,2,3,4,5,6,7
p2611,Mandarin,2021_07_19_13_00_00,2,-1,1,0,2,2,2,1,3,3,4,2,1,1,5,2,3,4,1,2,4,5,7,3,6
p2586,Mandarin,2021_07_13_11_17_24,-2,1,1,-1,2,1,0,0,1,4,3,1,2,1,3,,4,2,2,1,3,4,5,6,7
P2580,Mandarin,2021_07_13_11_15_00,2,1,2,0,0,2,2,2,2,1,2,4,3,5,3,4,2,1,7,1,6,2,3,4,5
p2614,Mandarin,2021_07_15_12_46_54,0,2,1,-1,-2,-2,-2,8,3,4,2,3,1,1,5,4,2,3,2,6,5,4,3,1,7
p1594,Mandarin,2021_07_15_08_36_36,2,2,2,2,0,2,2,2,1,3,1,2,4,5,2,1,3,4,3,4,5,7,6,1,2
P2630,Mandarin,2021_07_16_12_56_10,1,0,0,-1,2,-2,-1,2,3,1,2,4,3,5,4,1,2,3,7,6,4,3,1,2,5
P2615,Mandarin,2021_07_15_12_41_23,0,0,1,-2,-2,1,-2,2,3,4,2,1,3,1,3,2,4,5,7,2,4,5,3,6,1
p2606,Mandarin,2021_07_14_11_37_43,1,1,1,2,-1,1,1,2,4,1,2,4,3,2,3,1,4,5,7,6,3,2,1,4,5
p1589,Mandarin,2021_07_15_08_52_14,1,2,,1,0,2,2,2,2,1,4,3,2,5,3,4,2,1,1,2,4,5,7,6,3
p2632,Mandarin,2021_07_21_11_15_01,2,0,2,-1,-2,-1,2,2,3,4,3,1,2,3,5,4,2,1,6,2,5,4,1,3,7
P1567,Mandarin,2021_07_21_08_11_32,0,1,2,2,-2,2,2,2,3,4,3,2,1,2,4,5,1,3,2,3,5,4,6,1,7
P1574,Mandarin,2021_07_14_08_45_09,2,0,0,2,-2,2,2,0,3,2,3,1,4,1,2,4,5,3,1,2,4,3,6,5,7
P1595,Mandarin,2021_07_15_08_43_45,2,0,0,1,-1,1,-1,1,4,3,4,2,1,1,5,4,2,3,1,2,3,4,5,7,6
p2587,Mandarin,2021_07_13_11_20_32,2,1,2,2,-1,2,0,2,2,3,4,1,2,1,2,3,4,5,1,2,3,4,7,6,5
P2605,Mandarin,2021_07_14_11_44_17,2,2,0,-1,2,2,2,0,3,4,2,3,1,5,4,3,2,1,3,2,5,1,4,6,7
test,Mandarin,2021_07_16_12_55_05,2,0,1,0,1,0,0,2,1,2,4,1,3,3,1,5,2,4,3,4,1,6,7,5,2
p1555,Mandarin,2021_07_13_08_44_27,1,2,2,1,-1,1,0,1,1,2,3,4,1,2,1,4,5,3,1,2,4,3,6,5,7
p1562,Mandarin,2021_07_13_08_48_34,0,2,1,2,0,1,2,1,2,4,3,2,1,1,5,4,2,3,1,2,3,4,5,6,7
P2579,Mandarin,2021_07_13_11_15_36,2,2,2,1,2,2,2,2,1,1,2,3,4,1,2,3,4,5,1,2,6,5,7,4,3
P2640,Mandarin,2021_07_16_12_45_50,2,2,2,2,1,2,1,2,3,3,4,1,2,1,3,5,2,4,1,2,3,7,6,4,5
P1559,Mandarin,2021_07_26_07_44_29,2,1,0,0,1,0,1,2,2,4,2,3,1,1,2,5,3,4,1,6,3,2,7,4,5
P1571,Mandarin,2021_07_14_08_42_39,2,2,2,2,2,2,2,2,1,1,3,2,4,2,1,4,3,5,6,7,5,3,4,1,2
P1565,Mandarin,2021_07_14_08_44_38,1,2,-1,1,2,1,2,1,2,4,2,3,1,2,5,1,3,4,6,5,4,1,3,2,7
P1558,Mandarin,2021_07_13_09_00_07,0,1,0,0,-2,2,1,-1,3,4,2,3,1,1,2,3,4,5,1,2,3,4,5,6,7
p2577,Mandarin,2021_07_13_11_13_20,2,2,2,2,-2,2,2,0,2,1,2,3,4,5,3,4,1,2,1,2,3,4,7,5,6
P2607,Mandarin,2021_07_14_11_38_50,-2,0,1,2,-2,2,-2,2,3,1,2,3,4,1,5,2,3,4,7,6,4,3,1,2,5
P1570,Mandarin,2021_07_14_08_50_01,1,1,0,1,2,2,2,1,4,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
P2617,Mandarin,2021_07_15_12_40_32,-1,0,1,2,2,1,2,1,1,3,2,1,4,3,1,2,4,5,1,7,5,2,6,4,3
P2639,Mandarin,2021_07_16_12_39_59,2,0,2,0,2,2,0,2,3,2,1,4,3,2,1,4,3,5,1,2,3,4,5,6,7
P1560,Mandarin,2021_07_13_08_51_09,0,2,0,2,2,2,2,1,2,1,3,4,2,1,5,2,4,3,3,1,6,2,7,5,4
P3465,Tamil,2021_04_20_13_03_37,2,2,1,2,1,2,1,1,1,2,1,4,3,3,1,2,5,4,1,2,3,4,5,6,7
p1436,Tamil,2021_04_26_12_37_25,2,1,-2,2,1,2,2,2,3,1,3,2,4,1,3,2,5,4,7,3,1,2,6,5,4
p1440,Tamil,2021_04_26_12_58_43,2,2,2,2,2,2,2,2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
P2133,Tamil,2021_03_26_09_31_13,-2,1,0,-2,-1,0,-1,0,3,1,3,2,4,4,5,1,3,2,6,4,7,2,1,3,5
P2447,Tamil,2021_04_21_10_23_57,2,2,2,2,2,2,2,2,2,1,2,4,3,3,5,4,2,1,1,2,3,5,4,6,7
p2100,Tamil,2021_03_23_08_48_00,2,1,2,1,2,2,2,1,1,1,2,3,4,2,1,4,3,5,2,3,6,5,4,7,1
p1101,Tamil,2021_03_26_10_55_39,1,2,1,1,0,1,1,1,4,1,3,4,2,4,5,3,1,2,7,6,1,2,3,4,5
p3468,Tamil,2021_04_20_13_07_18,1,0,1,2,2,0,1,2,1,3,4,1,2,1,2,5,3,4,2,1,4,3,7,6,5
n213,Tamil,2021_03_29_10_31_34,2,2,2,2,2,2,2,2,1,2,3,4,1,1,2,3,4,5,2,3,1,4,5,6,7
P315,Tamil,2021_03_30_12_00_44,-2,-2,0,0,2,-2,-1,-2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p2451,Tamil,2021_04_21_10_06_52,2,2,1,1,1,1,1,1,1,1,3,2,4,4,1,2,3,5,1,2,3,4,7,6,5
p1439,Tamil,2021_04_26_12_41_44,1,1,1,2,1,2,2,2,3,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p1434,Tamil,2021_04_26_12_36_54,2,2,2,1,0,1,1,1,2,1,2,3,4,2,1,3,5,4,1,3,2,4,5,7,6
P2442,Tamil,2021_04_21_10_07_34,1,2,0,2,-1,2,1,2,1,1,3,2,4,1,2,5,3,4,1,2,3,4,5,7,6
p3472,Tamil,2021_04_21_11_34_08,0,-2,0,-2,-2,-1,-2,0,2,3,4,2,1,4,5,3,1,2,1,2,3,5,7,4,6
P304,Tamil,2021_03_30_11_41_23,2,1,1,0,-2,0,-1,2,3,4,3,1,2,1,2,4,3,5,1,2,4,3,5,7,6
K174,Tamil,2021_04_13_10_13_52,2,-2,0,2,-2,2,0,0,2,4,1,2,3,2,5,4,1,3,5,1,6,4,2,3,7
p1435,Tamil,2021_04_26_12_44_39,2,2,2,2,2,2,2,2,2,3,4,2,1,3,2,5,1,4,2,1,7,4,5,6,3
k203,Tamil,2021_03_31_13_53_55,2,2,2,2,2,2,2,2,2,1,3,2,4,1,3,2,4,5,1,2,3,4,5,6,7
test,Tamil,2021_04_23_12_51_12,2,2,2,2,2,2,2,2,2,3,4,1,2,1,2,4,3,5,1,2,3,4,7,5,6
p1433,Tamil,2021_04_26_12_42_39,1,2,0,1,0,0,-1,2,3,2,1,4,3,4,1,2,5,3,7,6,1,2,4,5,3
P3462,Tamil,2021_04_20_13_06_57,2,2,1,a,0,1,-1,2,3,3,4,1,2,1,2,3,4,5,1,2,4,3,5,6,7
p1119,Tamil,2021_03_26_10_54_45,2,1,1,2,-1,1,0,-2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p1438,Tamil,2021_04_26_12_34_31,2,1,2,0,0,1,1,2,1,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7
p2453,Tamil,2021_04_22_10_07_04,1,2,1,1,2,1,1,1,3,1,2,4,3,5,3,2,1,4,2,3,4,7,6,5,1
P313,Tamil,2021_03_30_11_41_14,2,2,2,2,0,2,2,2,1,3,2,1,4,2,3,4,1,5,1,2,4,3,7,6,5
>>>>>>> cb53f1e3f4e45f7ea50924cbfb8afefc06d41071
p3471,Tamil,2021_04_21_11_38_06,2,2,2,2,2,2,2,2,1,2,1,3,4,1,2,4,5,3,1,2,3,6,7,4,5
